Wall time,Step,Value
1686735194.7024927,0,0.14951881766319275
1686735210.7054243,1,0.09658966213464737
1686735227.4215138,2,0.08890858292579651
1686735243.9638286,3,0.09235484898090363
1686735259.9147868,4,0.06684450805187225
1686735276.3353088,5,0.06329745799303055
1686735292.7871127,6,0.05792910233139992
1686735309.2755673,7,0.06379334628582001
1686735325.2579994,8,0.05674666166305542
1686735341.6250997,9,0.05382411926984787
1686735361.0657077,10,0.045426271855831146
1686735379.2985787,11,0.048019468784332275
1686735397.9146771,12,0.04742589592933655
1686735416.1485217,13,0.04444142431020737
1686735433.0672042,14,0.04237367585301399
1686735451.0538905,15,0.06580234318971634
1686735469.8430953,16,0.0434286892414093
1686735488.900403,17,0.048553675413131714
1686735506.0006325,18,0.040271028876304626
1686735522.7386959,19,0.03931589797139168
1686735540.5743103,20,0.03384988382458687
1686735566.0699463,21,0.043457914143800735
1686735587.5399094,22,0.049024324864149094
1686735606.5315056,23,0.03904532641172409
1686735624.5026786,24,0.03573889657855034
1686735642.242521,25,0.04020623862743378
1686735660.6830037,26,0.035667095333337784
1686735678.4167967,27,0.03590812906622887
1686735697.0869436,28,0.036932069808244705
1686735717.3623147,29,0.04146431013941765
1686735735.6243472,30,0.03360418230295181
1686735756.257043,31,0.03305898606777191
1686735775.5053713,32,0.045224256813526154
1686735794.3666189,33,0.04064637050032616
1686735811.0667558,34,0.03527138754725456
1686735829.6767032,35,0.03799698129296303
1686735847.1746483,36,0.04003988206386566
1686735863.5785687,37,0.03133011609315872
1686735881.0850832,38,0.034026194363832474
1686735898.6920617,39,0.031280867755413055
1686735917.2792556,40,0.0373503640294075
1686735937.1690211,41,0.03247098997235298
1686735954.501448,42,0.03270861506462097
1686735971.413458,43,0.03057590313255787
1686735990.1757772,44,0.03786596655845642
1686736006.9999595,45,0.03533221781253815
1686736024.5814908,46,0.03858868405222893
1686736042.7287211,47,0.03191544860601425
1686736061.0900552,48,0.044996388256549835
1686736077.5353246,49,0.036351755261421204
1686736098.4288871,50,0.045612648129463196
1686736116.407667,51,0.03164977207779884
1686736133.1985521,52,0.03514112904667854
1686736152.167663,53,0.03262721747159958
1686736172.755297,54,0.0388900525867939
1686736193.326588,55,0.040416888892650604
1686736210.3170412,56,0.03265850991010666
1686736227.2214398,57,0.029622633010149002
1686736248.1335433,58,0.03267766535282135
1686736269.7224433,59,0.03125319257378578
1686736291.2487588,60,0.027896590530872345
1686736308.4745042,61,0.02944532409310341
1686736326.2605515,62,0.03454911336302757
1686736343.2360902,63,0.033784717321395874
1686736359.9038458,64,0.03458735719323158
1686736377.1547961,65,0.02551667019724846
1686736398.8892071,66,0.031149476766586304
1686736416.5435486,67,0.035706374794244766
1686736435.8448005,68,0.03200661018490791
1686736453.950863,69,0.030944757163524628
1686736471.0785694,70,0.030105099081993103
1686736490.7763476,71,0.0294705331325531
1686736507.4052083,72,0.03703238070011139
1686736527.5735493,73,0.03520786762237549
1686736547.4802442,74,0.03393459692597389
1686736567.8695707,75,0.0274078156799078
1686736590.2989964,76,0.04131869971752167
1686736611.678379,77,0.03628610447049141
1686736630.5918572,78,0.05155530199408531
1686736651.6923468,79,0.03006725199520588
1686736673.2215967,80,0.029687516391277313
1686736694.8916485,81,0.03315451741218567
1686736715.5790882,82,0.03268355503678322
1686736735.8664768,83,0.0411282442510128
1686736752.9289052,84,0.03281758353114128
1686736771.0196965,85,0.029837697744369507
1686736788.5530698,86,0.03255189582705498
1686736806.9679408,87,0.027383264154195786
1686736824.860317,88,0.03054376319050789
1686736843.8453426,89,0.02655746415257454
1686736862.2513442,90,0.030409205704927444
1686736881.1256645,91,0.029562419280409813
1686736900.0820217,92,0.03211425244808197
1686736919.644585,93,0.03345644474029541
1686736937.4530075,94,0.04493681713938713
1686736958.3603814,95,0.025232886895537376
1686736976.7778788,96,0.03651082143187523
1686736995.4935586,97,0.030165407806634903
1686737017.023648,98,0.03299449756741524
1686737034.9674902,99,0.02873535454273224
1686737053.8466482,100,0.02986571192741394
1686737072.396256,101,0.030670009553432465
1686737092.5210767,102,0.025488711893558502
1686737110.2505083,103,0.030031902715563774
1686737130.06195,104,0.026698874309659004
1686737149.949968,105,0.02718218043446541
1686737169.7900174,106,0.029413824900984764
1686737189.7551794,107,0.024343211203813553
1686737211.194604,108,0.028415746986865997
1686737230.817919,109,0.028957020491361618
1686737247.0590498,110,0.02806072123348713
1686737265.6443436,111,0.03129389509558678
1686737282.4807012,112,0.023130610585212708
1686737300.1293821,113,0.02632281929254532
1686737316.8359935,114,0.026443449780344963
1686737335.429318,115,0.025402268394827843
1686737353.5021422,116,0.0277375727891922
1686737372.0725327,117,0.02900836244225502
1686737388.23612,118,0.028694655746221542
1686737408.120803,119,0.028786130249500275
1686737426.4846683,120,0.029929980635643005
1686737444.1517613,121,0.029064713045954704
1686737462.8514888,122,0.025241151452064514
1686737481.3012753,123,0.02526644803583622
1686737498.8746836,124,0.024123534560203552
1686737517.869268,125,0.02723303996026516
1686737536.95569,126,0.02950946055352688
1686737554.4781475,127,0.027068670839071274
1686737570.7935176,128,0.026538744568824768
1686737587.8529074,129,0.028945118188858032
1686737604.8137896,130,0.030458245426416397
1686737622.4105172,131,0.027105925604701042
1686737639.17029,132,0.024385547265410423
1686737656.8607614,133,0.024676531553268433
1686737673.7936358,134,0.025997068732976913
1686737690.368385,135,0.03194449841976166
1686737709.4906473,136,0.030951322987675667
1686737727.635181,137,0.023424644023180008
1686737745.0864074,138,0.027382809668779373
1686737763.3349073,139,0.028748871758580208
1686737781.7321737,140,0.025926675647497177
1686737799.1084907,141,0.027728086337447166
1686737819.1811962,142,0.027270272374153137
1686737836.8237307,143,0.029421329498291016
1686737854.158011,144,0.030267102643847466
1686737871.9741023,145,0.031265050172805786
1686737887.955073,146,0.027784494683146477
1686737907.2487674,147,0.026500828564167023
1686737925.8391142,148,0.02700074575841427
1686737943.9309137,149,0.026190051808953285
1686737960.611591,150,0.02745765820145607
1686737977.8700466,151,0.028740957379341125
1686737994.3497112,152,0.02799767628312111
1686738012.0283904,153,0.027026060968637466
1686738029.187887,154,0.028749261051416397
1686738046.336292,155,0.027194838970899582
1686738062.2412453,156,0.028107592836022377
1686738080.1398547,157,0.027019193395972252
1686738097.5668159,158,0.029633307829499245
1686738113.4613094,159,0.02765626087784767
1686738132.0881991,160,0.030589912086725235
1686738151.2101767,161,0.02954171411693096
1686738170.617778,162,0.033117979764938354
1686738186.6588235,163,0.025494996458292007
1686738204.8423114,164,0.027283621951937675
1686738223.7148418,165,0.02663448639214039
1686738243.6474621,166,0.02684575505554676
1686738262.425222,167,0.028152503073215485
1686738284.2022111,168,0.028395937755703926
1686738301.5522966,169,0.030228611081838608
1686738318.9353936,170,0.028434863314032555
1686738339.7431445,171,0.026951860636472702
1686738358.0094812,172,0.03015407919883728
1686738374.409743,173,0.027117682620882988
